SEQENCE ID                     TM SP PREDICTION
O33599                          0  Y n4-17c25/26o
O52582                          0  Y n4-11c16/17o
P02976                          1  Y n12-27c36/37o491-510i
P14738                          1  Y n14-25c30/31o994-1009i
P69848                          0  0 o
Q2FUW1                          1  0 o2238-2255i
Q2FV54                         11  0 i21-39o45-66i87-105o148-169i181-199o211-229i241-261o267-290i311-329o335-356i377-397o
Q2FV64                          8  0 i158-180o192-214i226-244o256-274i408-428o440-459i747-764o770-790i
Q2FV99                          0  Y n10-20c25/26o
Q2FVE7                          0  Y n8-18c23/24o
Q2FVN3                          0  0 o
Q2FVT1                          8  0 i12-29o41-61i82-100o120-138i150-170o176-195i202-221o233-252i
Q2FWC5                          0  0 o
Q2FXF4                          1  0 i7-30o
Q2FXM8                          0  0 o
Q2FXS9                          0  0 o
Q2FZ08                          0  Y n3-15c20/21o
Q2FZE6                          0  Y n7-17c22/23o
Q2FZE9                          1  Y n26-37c46/47o324-344i
Q2FZL2                          0  Y n11-22c29/30o
Q2FZP6                          0  0 o
Q2FZP8                         12  0 i15-34o46-73i80-99o105-126i138-159o165-184i211-231o243-263i275-297o303-326i338-358o370-390i
Q2FZQ3                          0  0 o
Q2FZV7                          0  0 o
Q2G015                          1  Y n16-27c39/40o899-917i
Q2G028                          0  0 o
Q2G0M7                          0  0 o
Q2G160                          0  0 o
Q2G1M5                          0  0 o
Q2G2M8                          0  0 o
Q53705                          6  0 i12-28o40-62i83-115o121-140i152-170o182-206i
Q8KQR1                          1  Y n10-20c28/29o198-218i
Q9F0R1                          0  0 o
O06446                          0  0 o
O50581                          0  0 o
P0A0B7                          0  0 o
P0A0J0                          0  0 o
P60611                          0  0 o
P72360                          0  0 o
P95689                          0  0 o
Q2FUU3                          0  0 o
Q2FUW6                          0  0 o
Q2FUY2                          2  0 i20-38o850-866i
Q2FV31                          0  0 o
Q2FV59                          0  0 i
Q2FVE8                          6  0 i9-29o107-126i138-161o176-193i233-257o277-302i
Q2FVE9                          5  0 o12-36i77-101o121-146i186-207o244-269i
Q2FVF0                          0  0 o
Q2FVF1                          0  0 o
Q2FVK1                          0  Y n10-21c26/27o
Q2FWC7                          0  0 o
Q2FWD1                          0  Y n4-12c16/17o
Q2FWH4                          0  0 o
Q2FWH5                          0  0 o
Q2FWH7                          4  0 i387-406o412-429i434-452o464-484i
Q2FWK4                          0  0 o
Q2FWP1                          0  Y n13-24c28/29o
Q2FWX9                          0  0 o
Q2FXA5                          0  Y n5-13c18/19o
