# SignalP-5.0	Organism: euk	
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
O33599	SP(Sec/SPI)	0.992216	0.007784	CS pos: 25-26. ADA-AE. Pr: 0.6600
O52582	OTHER	0.162878	0.837122	
P02976	OTHER	0.494866	0.505134	
P14738	OTHER	0.293029	0.706971	
P69848	OTHER	0.001275	0.998725	
Q2FUW1	OTHER	0.000353	0.999647	
Q2FV54	OTHER	0.000312	0.999688	
Q2FV64	OTHER	0.001719	0.998281	
Q2FV99	OTHER	0.495416	0.504584	
Q2FVE7	SP(Sec/SPI)	0.970367	0.029633	CS pos: 23-24. CGG-NK. Pr: 0.6166
Q2FVN3	OTHER	0.007960	0.992040	
Q2FVT1	OTHER	0.034543	0.965457	
Q2FWC5	OTHER	0.000459	0.999541	
Q2FXF4	OTHER	0.014164	0.985836	
Q2FXM8	OTHER	0.006577	0.993423	
Q2FXS9	OTHER	0.002156	0.997844	
Q2FZ08	SP(Sec/SPI)	0.619763	0.380237	CS pos: 20-21. VGG-YV. Pr: 0.2939
Q2FZE6	SP(Sec/SPI)	0.992294	0.007706	CS pos: 22-23. CQS-SS. Pr: 0.5098
Q2FZE9	OTHER	0.031814	0.968186	
Q2FZL2	SP(Sec/SPI)	0.750679	0.249321	CS pos: 29-30. ANA-LS. Pr: 0.3366
Q2FZP6	OTHER	0.000466	0.999534	
Q2FZP8	OTHER	0.060164	0.939836	
Q2FZQ3	OTHER	0.000653	0.999347	
Q2FZV7	OTHER	0.011548	0.988452	
Q2G015	OTHER	0.117931	0.882069	
Q2G028	OTHER	0.000942	0.999058	
Q2G0M7	OTHER	0.000585	0.999415	
Q2G160	OTHER	0.008185	0.991815	
Q2G1M5	OTHER	0.000523	0.999477	
Q2G2M8	OTHER	0.001575	0.998425	
Q53705	OTHER	0.001136	0.998864	
Q8KQR1	SP(Sec/SPI)	0.987742	0.012258	CS pos: 28-29. ANA-AD. Pr: 0.8769
Q9F0R1	OTHER	0.000350	0.999650	
O06446	OTHER	0.000289	0.999711	
O50581	OTHER	0.000474	0.999526	
P0A0B7	OTHER	0.003381	0.996619	
P0A0J0	OTHER	0.000358	0.999642	
P60611	OTHER	0.000267	0.999733	
P72360	OTHER	0.001310	0.998690	
P95689	OTHER	0.000356	0.999644	
Q2FUU3	OTHER	0.000878	0.999122	
Q2FUW6	OTHER	0.000370	0.999630	
Q2FUY2	OTHER	0.018583	0.981417	
Q2FV31	OTHER	0.000496	0.999504	
Q2FV59	OTHER	0.000488	0.999512	
