ID	Evidences length	Evidences list	Complete evidences
P02976	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
P14738	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUW1	1	PHOBIUS_TM	PHOBIUS_TM
Q2FV54	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV64	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVT1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FXF4	1	PHOBIUS_TM	PHOBIUS_TM
Q2FXS9	1	SL	SL
Q2FZE9	1	PHOBIUS_TM	PHOBIUS_TM
Q2FZP8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G015	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q53705	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8KQR1	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q2FUY2	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVE8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVE9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWH7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYQ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYQ6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZ93	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZF0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZL3	1	PHOBIUS_TM	PHOBIUS_TM
Q2G093	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G0L4	1	PHOBIUS_TM	PHOBIUS_TM
Q2G0R0	1	PHOBIUS_TM	PHOBIUS_TM
Q2G184	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2C0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2M2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2U1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2U4	1	PHOBIUS_TM	PHOBIUS_TM
Q93Q23	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P60643	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P68805	1	PHOBIUS_TM	PHOBIUS_TM
Q2FUR9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUW2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV87	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVB8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVQ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW71	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW92	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWA0	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWD4	1	SL	SL
Q2FWG4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWI0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWY7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FXE5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FXE6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FXJ2	1	PHOBIUS_TM	PHOBIUS_TM
Q2FXT8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FY80	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYF1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYJ6	1	PHOBIUS_TM	PHOBIUS_TM
Q2FYM4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
